GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
RKT,EG001,E1,2024-08-26,2024-09-07,13,2024-08-25,2024-08-06
RKT,IE002,I2,2024-07-24,2024-08-08,16,2024-07-19,2024-07-04
RKT,IE002,I2,2024-08-24,2024-09-06,14,2024-08-21,2024-08-07
RKT,ZA001,W0,2024-08-31,2024-09-05,6,,
RKT,ZA002,W0,2024-08-31,2024-09-05,6,,
RKT,ZA001,W0,2024-10-02,2024-10-09,8,,
RKT,ZA002,W0,2024-10-02,2024-10-09,8,,
RKT,ZA001,W0,2024-11-29,2025-01-09,41,,
RKT,ZA002,W0,2024-11-29,2025-01-09,41,,
RKT,ZA001,W0,2024-12-20,2025-01-09,20,,
RKT,ZA002,W0,2024-12-20,2025-01-09,20,,
RKT,ZA001,W0,2025-02-28,,,2025-02-23,2025-02-06
RKT,ZA002,W0,2025-02-28,,,2025-02-23,2025-02-06
RKT,ZA001,W0,2025-02-28,,,2025-02-23,2025-02-06
RKT,ZA002,W0,2025-02-28,,,2025-02-23,2025-02-06
RKT,GB001,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB002,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB003,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB004,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB015,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB019,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB074,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB056,G7,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB001,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB002,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB003,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB004,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB015,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB019,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB056,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB074,G7,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB001,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB002,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB003,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB004,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB015,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB019,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB056,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB074,G7,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB002,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB004,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB003,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB015,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB019,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB056,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB074,G7,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB001,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB001,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB002,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB003,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB002,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB003,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB004,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB015,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB019,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB056,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB074,G7,2025-03-20,,,2025-03-18,2025-03-03
RKT,BE006,B6,2024-07-31,2024-08-14,14,2024-07-25,2024-07-16
RKT,GB001,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB002,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB003,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB004,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB015,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB019,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB056,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB074,G6,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB004,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB015,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB019,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB056,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB074,GA,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB001,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB002,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB003,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB004,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB015,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,CZ002,C2,2024-08-02,2024-08-20,18,2024-09-02,2024-08-19
RKT,CZ002,C2,2024-09-03,2024-09-18,15,2024-10-01,2024-09-17
RKT,BE006,B6,2024-08-29,2024-09-17,19,2024-08-23,2024-08-13
RKT,BE006,B6,2024-11-29,2024-12-12,13,2024-11-25,2024-11-14
RKT,BE006,B6,2024-12-27,,,2024-12-20,2024-12-11
RKT,GB019,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB056,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB074,GA,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,KE001,K1,2024-09-26,2024-10-14,19,2024-09-25,2024-09-10
RKT,KE001,K1,2024-11-26,2024-12-05,10,2024-11-25,2024-11-12
RKT,BE006,B6,2024-10-31,2024-11-15,15,2024-10-25,2024-10-16
RKT,GB001,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB002,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB003,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB004,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB015,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB019,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB056,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB074,G5,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB001,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,FI003,F3,2024-10-28,2024-11-06,10,2024-10-25,2024-10-07
RKT,FI003,F3,2024-12-27,,,2024-12-23,2024-12-05
RKT,GB004,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB015,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB019,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB002,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB003,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB002,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB003,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB004,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB015,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB019,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB056,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB074,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB001,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB002,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB003,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB004,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB015,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB019,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB002,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB003,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB004,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB015,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB019,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB056,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB074,G1,2025-03-25,,,2025-03-21,2025-03-06
RKT,GB056,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB074,G8,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB002,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB003,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB004,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB015,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB019,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB056,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB056,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB074,G5,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB001,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB002,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB003,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB004,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB015,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB019,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB056,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB074,G5,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB001,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB002,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB003,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB004,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB015,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB019,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB056,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB074,G5,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB074,G8,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB001,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB002,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB003,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB004,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB015,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB019,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB056,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB074,G1,2024-07-23,2024-08-06,15,2024-07-19,2024-07-05
RKT,GB001,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB002,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB003,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB004,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB015,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB019,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB056,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB074,G1,2025-02-25,2025-03-06,10,2025-02-21,2025-02-07
RKT,GB001,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB002,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB003,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB004,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB015,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB019,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB056,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,CZ002,C2,2024-11-04,2024-11-19,15,2024-12-02,2024-11-18
RKT,GB074,G3,2024-09-20,2024-10-04,15,2024-09-18,2024-09-04
RKT,GB001,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB002,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB003,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB004,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB015,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB019,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB056,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB074,G3,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB001,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB002,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB003,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB004,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB015,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB019,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB056,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB074,G6,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB002,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB003,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB004,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB015,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB019,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB056,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB074,G8,2024-08-20,2024-09-04,16,2024-08-16,2024-08-01
RKT,GB001,G8,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,ZA001,W0,2024-11-01,2024-11-07,6,,
RKT,ZA002,W0,2024-11-01,2024-11-07,6,,
RKT,ZA001,W0,2025-02-01,2025-02-07,6,2025-02-23,2025-02-06
RKT,ZA002,W0,2025-02-01,2025-02-07,6,2025-02-23,2025-02-06
RKT,GB074,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB001,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB002,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB056,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB003,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB004,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB015,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB019,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB056,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB074,GA,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB056,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB074,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB001,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB056,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB074,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB002,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB003,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB004,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB015,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB019,G7,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,NL002,N0,2024-10-24,2024-11-12,20,2024-10-25,2024-10-14
RKT,NL003,N0,2024-10-24,2024-11-12,20,2024-10-25,2024-10-14
RKT,NL006,N0,2024-10-24,2024-11-12,20,2024-10-25,2024-10-14
RKT,NL041,N0,2024-10-24,2024-11-12,20,2024-10-25,2024-10-14
RKT,NL085,N0,2024-10-24,2024-11-12,20,2024-10-25,2024-10-14
RKT,NL002,N0,2024-11-22,2024-12-09,18,2024-11-25,2024-11-12
RKT,GB002,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB003,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB001,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB004,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB015,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,GB019,G7,2024-07-20,2024-08-01,13,2024-07-18,2024-07-04
RKT,NL003,N0,2024-11-22,2024-12-09,18,2024-11-25,2024-11-12
RKT,NL006,N0,2024-11-22,2024-12-09,18,2024-11-25,2024-11-12
RKT,NL041,N0,2024-11-22,2024-12-09,18,2024-11-25,2024-11-12
RKT,NL085,N0,2024-11-22,2024-12-09,18,2024-11-25,2024-11-12
RKT,NL002,N0,2024-12-19,,,2024-12-20,2024-12-09
RKT,NL003,N0,2024-12-19,,,2024-12-20,2024-12-09
RKT,NL006,N0,2024-12-19,,,2024-12-20,2024-12-09
RKT,NL041,N0,2024-12-19,,,2024-12-20,2024-12-09
RKT,NL085,N0,2024-12-19,,,2024-12-20,2024-12-09
RKT,GB003,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB001,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB002,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB004,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB015,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB019,G3,2024-10-22,2024-11-04,14,2024-10-18,2024-10-04
RKT,GB056,G1,2024-08-23,2024-09-06,15,2024-08-21,2024-08-06
RKT,GB074,G1,2024-08-23,2024-09-06,15,2024-08-21,2024-08-06
RKT,GB001,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB002,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB003,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB004,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB015,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB019,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB056,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB001,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB002,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB003,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB004,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB015,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB019,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB056,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB074,G1,2024-09-24,2024-10-07,14,2024-09-20,2024-09-06
RKT,GB001,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB002,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB003,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB004,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB015,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB019,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB056,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB074,G1,2024-10-23,2024-11-07,16,2024-10-21,2024-10-07
RKT,GB001,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB002,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB003,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB004,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB015,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB019,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB056,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB074,G1,2024-11-23,2024-12-06,14,2024-11-21,2024-11-07
RKT,GB001,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB002,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB003,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB004,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB015,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB019,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB056,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB002,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB003,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB004,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB015,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB019,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB056,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB074,G1,2024-12-24,2025-01-07,15,2024-12-20,2024-12-06
RKT,GB001,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB002,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB003,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB004,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB015,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB019,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB056,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB074,G1,2025-01-23,2025-02-07,16,2025-01-21,2025-01-07
RKT,GB074,G4,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB002,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB003,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB004,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,BG082,B0,2024-10-28,2024-11-13,17,2024-10-25,2024-10-15
RKT,BG082,B0,2024-11-26,2024-12-09,14,2024-11-25,2024-11-13
RKT,GB015,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB019,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB056,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB074,G3,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB074,G6,2024-11-20,2024-12-04,15,2024-11-18,2024-11-04
RKT,GB002,G9,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB003,G9,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB004,G9,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB015,G9,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB019,G9,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB056,G9,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB074,G9,2024-12-20,2025-01-03,15,2024-12-18,2024-12-04
RKT,GB001,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB002,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB003,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB004,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB015,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB019,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB056,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB074,G9,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G9,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB002,G9,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB003,G9,2025-02-20,2025-03-03,12,2025-02-18,2025-02-04
RKT,GB001,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB002,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB003,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB004,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB015,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB019,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB056,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB074,G5,2025-01-21,2025-02-04,15,2025-01-17,2025-01-03
RKT,GB001,G5,2025-03-20,,,2025-03-18,2025-03-03
RKT,GB002,G5,2025-03-20,,,2025-03-18,2025-03-03
